firstInteractive-FCP_std (ms),firstInteractive-FCP_min (ms),firstInteractive-FMP-ReverseSearch_avg (ms),firstInteractive-FMP-ReverseSearch_std (ms),firstInteractive-FCP-ReverseSearch_max (ms),firstInteractive-FMP-Network_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_max (ms),firstInteractive-FMP-Network_min (ms),firstInteractive-FMP-Network_max (ms),timeToFirstInteractive_max (ms),firstInteractive-FCP-ReverseSearch_min (ms),firstInteractive-StartNav_avg (ms),firstInteractive-StartNav_min (ms),firstInteractive-FMP_std (ms),firstInteractive-StartNav-ReverseSearch_max (ms),timeToFirstMeaningfulPaint_min (ms),timeToFirstMeaningfulPaint_max (ms),page_name,timeToOnload_min (ms),timeToOnload_avg (ms),timeToFirstInteractive_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_std (ms),firstInteractive-StartNav-ReverseSearch_min (ms),firstInteractive-FCP_avg (ms),timeToOnload_max (ms),firstInteractive-FMP-ReverseSearch_max (ms),firstInteractive-StartNav_max (ms),trace,firstInteractive-FMP-Network_std (ms),timeToFirstMeaningfulPaint_avg (ms),timeToFirstContentfulPaint_std (ms),firstInteractive-FCP-ReverseSearch_avg (ms),timeToFirstContentfulPaint_max (ms),timeToOnload_std (ms),timeToFirstInteractive_std (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_avg (ms),firstInteractive-FMP-ReverseSearch_min (ms),firstInteractive-FCP_max (ms),firstInteractive-FMP_min (ms),firstInteractive-FMP_avg (ms),timeToFirstMeaningfulPaint_std (ms),timeToFirstInteractive_min (ms),firstInteractive-StartNav_std (ms),firstInteractive-StartNav-ReverseSearch_avg (ms),timeToFirstContentfulPaint_min (ms),firstInteractive-FCP-ReverseSearch_std (ms),firstInteractive-FMP_max (ms),firstInteractive-StartNav-ReverseSearch_std (ms),timeToFirstContentfulPaint_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_min (ms)
0.0,67935.01309799824,67935.01309799824,0.0,67935.01309799824,71589.13409799825,67935.01309799824,71589.13409799825,71589.13409799825,59937.961000000025,67935.01309799824,37941.03259799822,7947.05209799821,0.0,67935.01309799824,12515.219000000041,12515.219000000041,http://www.zx555.net (#11),55081.005000000005,55081.005000000005,59937.961000000025,0.0,67935.01309799824,67935.01309799824,55081.005000000005,67935.01309799824,67935.01309799824,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_21-58-11-99009.html,0.0,12515.219000000041,0.0,67935.01309799824,12515.099000000046,0.0,0.0,67935.01309799824,67935.01309799824,67935.01309799824,67935.01309799824,67935.01309799824,0.0,59937.961000000025,42417.894012654164,67935.01309799824,12515.099000000046,0.0,67935.01309799824,0.0,12515.099000000046,67935.01309799824
0.0,70237.98186650327,70237.98186650327,0.0,70237.98186650327,73300.57886650323,70237.98186650327,73300.57886650323,73300.57886650323,62846.115000000354,70237.98186650327,41176.39536650323,12114.808866503205,0.0,70237.98186650327,10311.496000000276,10311.496000000276,http://www.zx555.net (#23),56179.308000000194,56179.308000000194,62846.115000000354,0.0,70237.98186650327,70237.98186650327,56179.308000000194,70237.98186650327,70237.98186650327,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_22-27-29-1685.html,0.0,10311.496000000276,0.0,70237.98186650327,10311.433000000194,0.0,0.0,70237.98186650327,70237.98186650327,70237.98186650327,70237.98186650327,70237.98186650327,0.0,62846.115000000354,41099.28977237889,70237.98186650327,10311.433000000194,0.0,70237.98186650327,0.0,10311.433000000194,70237.98186650327
0.0,63931.52439200824,63931.52439200824,0.0,63931.52439200824,69275.91339200812,63931.52439200824,69275.91339200812,69275.91339200812,56735.05800000012,63931.52439200824,37989.60139200814,12047.678392008032,0.0,63931.52439200824,10437.961999999825,10437.961999999825,http://www.zx555.net (#9),52487.44499999983,52487.44499999983,56735.05800000012,0.0,63931.52439200824,63931.52439200824,52487.44499999983,63931.52439200824,63931.52439200824,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_22-45-24-11467.html,0.0,10437.961999999825,0.0,63931.52439200824,10437.898000000045,0.0,0.0,63931.52439200824,63931.52439200824,63931.52439200824,63931.52439200824,63931.52439200824,0.0,56735.05800000012,36687.41934063868,63931.52439200824,10437.898000000045,0.0,63931.52439200824,0.0,10437.898000000045,63931.52439200824
0.0,54580.55605949916,70990.8010594992,0.0,70990.8010594992,54940.63405949935,54580.55605949916,54940.63405949935,54940.63405949935,47462.65399999999,70990.8010594992,33273.713559499214,11966.871059499272,0.0,70990.8010594992,10504.258000000147,10504.258000000147,http://www.zx555.net (#17),53161.05200000014,53161.05200000014,47462.65399999999,0.0,70990.8010594992,54580.55605949916,53161.05200000014,70990.8010594992,54580.55605949916,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_22-11-40-62123.html,0.0,10504.258000000147,0.0,70990.8010594992,10504.195000000065,0.0,0.0,54580.55605949916,70990.8010594992,54580.55605949916,54580.55605949916,54580.55605949916,0.0,47462.65399999999,30132.425634847386,70990.8010594992,10504.195000000065,0.0,54580.55605949916,0.0,10504.195000000065,54580.55605949916
0.0,54851.67338499522,67086.15538499545,0.0,67086.15538499545,69911.23938499544,67086.15538499545,69911.23938499544,69911.23938499544,47619.06199999994,67086.15538499545,33392.91338499527,11934.153384995318,0.0,67086.15538499545,10243.648000000045,10243.648000000045,http://www.zx555.net (#15),54138.67700000014,54138.67700000014,47619.06199999994,0.0,67086.15538499545,54851.67338499522,54138.67700000014,67086.15538499545,54851.67338499522,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_22-07-15-24577.html,0.0,10243.648000000045,0.0,67086.15538499545,10243.584000000032,0.0,0.0,67086.15538499545,67086.15538499545,54851.67338499522,54851.67338499522,54851.67338499522,0.0,47619.06199999994,30347.269423709207,67086.15538499545,10243.584000000032,0.0,54851.67338499522,0.0,10243.584000000032,67086.15538499545
0.0,68263.3118004988,68263.3118004988,0.0,68263.3118004988,74426.77280049871,68263.3118004988,74426.77280049871,74426.77280049871,56159.04900000006,68263.3118004988,42553.255800498795,16843.199800498784,0.0,68263.3118004988,10266.754000000074,10266.754000000074,http://www.zx555.net (#13),52511.50800000003,52511.50800000003,56159.04900000006,0.0,68263.3118004988,68263.3118004988,52511.50800000003,68263.3118004988,68263.3118004988,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_22-02-44-96055.html,0.0,10266.754000000074,0.0,68263.3118004988,10266.69200000004,0.0,0.0,68263.3118004988,68263.3118004988,68263.3118004988,68263.3118004988,68263.3118004988,0.0,56159.04900000006,36359.50988457178,68263.3118004988,10266.69200000004,0.0,68263.3118004988,0.0,10266.69200000004,68263.3118004988
0.0,65443.70282399751,65443.70282399751,0.0,65443.70282399751,68313.58382399751,65443.70282399751,68313.58382399751,68313.58382399751,58147.55700000001,65443.70282399751,38853.15082399751,12262.598823997507,0.0,65443.70282399751,10528.274000000005,10528.274000000005,http://www.zx555.net (#0),51898.13200000001,51898.13200000001,58147.55700000001,0.0,65443.70282399751,65443.70282399751,51898.13200000001,65443.70282399751,65443.70282399751,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_21-51-28-69412.html,0.0,10528.274000000005,0.0,65443.70282399751,10528.209999999992,0.0,0.0,65443.70282399751,65443.70282399751,65443.70282399751,65443.70282399751,65443.70282399751,0.0,58147.55700000001,37604.71926938703,65443.70282399751,10528.209999999992,0.0,65443.70282399751,0.0,10528.209999999992,65443.70282399751
0.0,61236.84323449102,81106.45723449108,0.0,81106.45723449108,81106.45723449108,81106.45723449108,81106.45723449108,81106.45723449108,50567.570999999945,81106.45723449108,38749.51373449099,15383.811234491011,0.0,81106.45723449108,10254.402000000002,10254.402000000002,http://www.zx555.net (#2),66243.73300000001,66243.73300000001,50567.570999999945,0.0,81106.45723449108,61236.84323449102,66243.73300000001,81106.45723449108,62115.216234490974,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_22-18-30-5826.html,0.0,10254.402000000002,0.0,81106.45723449108,10254.33899999992,0.0,0.0,81106.45723449108,81106.45723449108,61236.84323449102,61236.84323449102,61236.84323449102,0.0,50567.570999999945,33044.09336987491,81106.45723449108,10254.33899999992,0.0,61236.84323449102,0.0,10254.33899999992,81106.45723449108
0.0,66442.85009699759,66442.85009699759,0.0,66442.85009699759,70039.48909699722,66442.85009699759,70039.48909699722,70039.48909699722,59039.27800000018,66442.85009699759,39286.22159699742,12129.593096997261,0.0,66442.85009699759,10346.038999999873,10346.038999999873,http://www.zx555.net (#4),53149.05200000014,53149.05200000014,59039.27800000018,0.0,66442.85009699759,66442.85009699759,53149.05200000014,66442.85009699759,66442.85009699759,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_22-34-11-50648.html,0.0,10346.038999999873,0.0,66442.85009699759,10345.975000000093,0.0,0.0,66442.85009699759,66442.85009699759,66442.85009699759,66442.85009699759,66442.85009699759,0.0,59039.27800000018,38405.272333027955,66442.85009699759,10345.975000000093,0.0,66442.85009699759,0.0,10345.975000000093,66442.85009699759
0.0,69745.37598399448,69745.37598399448,0.0,69745.37598399448,72600.23598399466,69745.37598399448,72600.23598399466,72600.23598399466,60078.13199999978,69745.37598399448,42045.62798399448,14345.879983994477,0.0,69745.37598399448,10289.712999999989,10289.712999999989,http://www.zx555.net (#24),54390.5419999999,54390.5419999999,60078.13199999978,0.0,69745.37598399448,69745.37598399448,54390.5419999999,69745.37598399448,69745.37598399448,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-14_22-29-46-48201.html,0.0,10289.712999999989,0.0,69745.37598399448,10289.649000000209,0.0,0.0,69745.37598399448,69745.37598399448,69745.37598399448,69745.37598399448,69745.37598399448,0.0,60078.13199999978,39173.35929591702,69745.37598399448,10289.649000000209,0.0,69745.37598399448,0.0,10289.649000000209,69745.37598399448
