firstInteractive-FCP_std (ms),firstInteractive-FCP_min (ms),firstInteractive-FMP-ReverseSearch_avg (ms),firstInteractive-FMP-ReverseSearch_std (ms),firstInteractive-FCP-ReverseSearch_max (ms),firstInteractive-FMP-Network_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_max (ms),firstInteractive-FMP-Network_min (ms),firstInteractive-FMP-Network_max (ms),timeToFirstInteractive_max (ms),firstInteractive-FCP-ReverseSearch_min (ms),firstInteractive-StartNav_avg (ms),firstInteractive-StartNav_min (ms),firstInteractive-FMP_std (ms),firstInteractive-StartNav-ReverseSearch_max (ms),timeToFirstMeaningfulPaint_min (ms),timeToFirstMeaningfulPaint_max (ms),page_name,timeToOnload_min (ms),timeToOnload_avg (ms),timeToFirstInteractive_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_std (ms),firstInteractive-StartNav-ReverseSearch_min (ms),firstInteractive-FCP_avg (ms),timeToOnload_max (ms),firstInteractive-FMP-ReverseSearch_max (ms),firstInteractive-StartNav_max (ms),trace,firstInteractive-FMP-Network_std (ms),timeToFirstMeaningfulPaint_avg (ms),timeToFirstContentfulPaint_std (ms),firstInteractive-FCP-ReverseSearch_avg (ms),timeToFirstContentfulPaint_max (ms),timeToOnload_std (ms),timeToFirstInteractive_std (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_avg (ms),firstInteractive-FMP-ReverseSearch_min (ms),firstInteractive-FCP_max (ms),firstInteractive-FMP_min (ms),firstInteractive-FMP_avg (ms),timeToFirstMeaningfulPaint_std (ms),timeToFirstInteractive_min (ms),firstInteractive-StartNav_std (ms),firstInteractive-StartNav-ReverseSearch_avg (ms),timeToFirstContentfulPaint_min (ms),firstInteractive-FCP-ReverseSearch_std (ms),firstInteractive-FMP_max (ms),firstInteractive-StartNav-ReverseSearch_std (ms),timeToFirstContentfulPaint_avg (ms),firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive_min (ms)
0.0,32224.590255497933,32224.590255497933,0.0,32224.590255497933,32224.590255497933,32224.590255497933,32224.590255497933,32224.590255497933,20191.12000000009,32224.590255497933,11983.470255497843,11983.470255497843,0.0,32224.590255497933,6132.8810000009835,6132.8810000009835,http://www.francetvinfo.fr/ (#87),16609.80600000173,16609.80600000173,20191.12000000009,0.0,32224.590255497933,32224.590255497933,16609.80600000173,32224.590255497933,11983.470255497843,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_18-23-18-77533.html,0.0,6132.8810000009835,0.0,32224.590255497933,6132.819000001997,0.0,0.0,32224.590255497933,32224.590255497933,32224.590255497933,32224.590255497933,32224.590255497933,0.0,20191.12000000009,0.0,32224.590255497933,6132.819000001997,0.0,32224.590255497933,0.0,6132.819000001997,32224.590255497933
0.0,23070.644677502558,,,,,,,,15863.452000000038,,39160.021677502395,7157.19267750252,0.0,,6653.027999999933,6653.027999999933,http://www.dawn.com/ (#30),21718.229999999516,21718.229999999516,15863.452000000038,,,23070.644677502558,21718.229999999516,,71162.85067750227,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_14-51-35-49165.html,,6653.027999999933,0.0,,6652.966000000015,0.0,0.0,,,23070.644677502558,23070.644677502558,23070.644677502558,0.0,15863.452000000038,45258.83480610682,,6652.966000000015,,23070.644677502558,,6652.966000000015,
0.0,25096.171450504706,,,,57892.22245050464,57892.22245050464,57892.22245050464,57892.22245050464,13493.450000000092,,11552.721450504614,11552.721450504614,0.0,,12558.280000000028,12558.280000000028,http://www.58pic.com (#0),19148.368000000017,19148.368000000017,13493.450000000092,0.0,,25096.171450504706,19148.368000000017,,11552.721450504614,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_13-56-30-40151.html,0.0,12558.280000000028,0.0,,12558.216999999946,0.0,0.0,57892.22245050464,,25096.171450504706,25096.171450504706,25096.171450504706,0.0,13493.450000000092,0.0,,12558.216999999946,,25096.171450504706,,12558.216999999946,57892.22245050464
0.0,19421.048835499005,19421.048835499005,0.0,19421.048835499005,23126.27283549945,19421.048835499005,23126.27283549945,23126.27283549945,12044.085999998988,19421.048835499005,7326.962835500017,7326.962835500017,0.0,19421.048835499005,11881.257999999449,11881.257999999449,https://inbox.google.com/ (#47),16384.843000000343,16384.843000000343,12044.085999998988,0.0,19421.048835499005,19421.048835499005,16384.843000000343,19421.048835499005,7326.962835500017,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_15-11-14-23142.html,0.0,11881.257999999449,0.0,19421.048835499005,11881.63000000082,0.0,0.0,19421.048835499005,19421.048835499005,19421.048835499005,19421.048835499005,19421.048835499005,0.0,12044.085999998988,0.0,19421.048835499005,11881.63000000082,0.0,19421.048835499005,0.0,11881.63000000082,19421.048835499005
0.0,45203.83542950039,72236.03242950141,0.0,72236.03242950141,72236.03242950141,72236.03242950141,72236.03242950141,72236.03242950141,32203.123999999436,72236.03242950141,12950.711429500952,12950.711429500952,0.0,72236.03242950141,10988.110999999568,10988.110999999568,http://www.yahoo.com (#72),26043.110999999568,26043.110999999568,32203.123999999436,0.0,72236.03242950141,45203.83542950039,26043.110999999568,72236.03242950141,12950.711429500952,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_16-15-53-75864.html,0.0,10988.110999999568,0.0,72236.03242950141,10389.070000000298,0.0,0.0,72236.03242950141,72236.03242950141,45203.83542950039,45203.83542950039,45203.83542950039,0.0,32203.123999999436,0.0,72236.03242950141,10389.070000000298,0.0,45203.83542950039,0.0,10389.070000000298,72236.03242950141
0.0,24747.660590997457,24747.660590997457,0.0,24747.660590997457,26127.76459099789,24747.660590997457,26127.76459099789,26127.76459099789,17492.61600000088,24747.660590997457,23651.247090997404,7205.044590996578,0.0,24747.660590997457,7697.779000001028,7697.779000001028,https://en.m.wikipedia.org/wiki/Solo_Foods (#8),17360.151000000536,17360.151000000536,17492.61600000088,0.0,24747.660590997457,24747.660590997457,17360.151000000536,24747.660590997457,24747.660590997457,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_16-39-39-67509.html,0.0,7697.779000001028,0.0,24747.660590997457,7697.656000001356,0.0,0.0,24747.660590997457,24747.660590997457,24747.660590997457,24747.660590997457,24747.660590997457,0.0,17492.61600000088,4385.654000000218,24747.660590997457,7697.656000001356,0.0,24747.660590997457,0.0,7697.656000001356,24747.660590997457
0.0,60696.263263997826,60696.263263997826,0.0,60696.263263997826,60696.263263997826,60696.263263997826,60696.263263997826,60696.263263997826,53243.8219999999,60696.263263997826,42931.65593066453,7402.441263997927,0.0,60696.263263997826,36819.104999998584,36819.104999998584,https://travis-ci.org/GoogleChrome/lighthouse/branches (#58),14506.370999999344,14506.370999999344,53243.8219999999,0.0,60696.263263997826,60696.263263997826,14506.370999999344,60696.263263997826,60696.263263997826,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_15-58-48-17122.html,0.0,36819.104999998584,0.0,60696.263263997826,16571.315999999642,0.0,0.0,60696.263263997826,60696.263263997826,60696.263263997826,60696.263263997826,60696.263263997826,0.0,53243.8219999999,30769.20247784394,60696.263263997826,16571.315999999642,0.0,60696.263263997826,0.0,16571.315999999642,60696.263263997826
0.0,23218.586196002074,,,,,,,,16053.669999999449,,37302.51719600229,7114.916196002625,0.0,,6737.677000000142,6737.677000000142,http://www.dawn.com/ (#47),22105.883999999613,22105.883999999613,16053.669999999449,,,23218.586196002074,22105.883999999613,,67490.11819600196,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_15-39-47-36736.html,,6737.677000000142,0.0,,6737.61400000006,0.0,0.0,,,23218.586196002074,23218.586196002074,23218.586196002074,0.0,16053.669999999449,42691.714749707135,,6737.61400000006,,23218.586196002074,,6737.61400000006,
0.0,33810.307265497446,59443.65726549652,0.0,59443.65726549652,41121.12526549776,33810.307265497446,41121.12526549776,41121.12526549776,26664.9179999993,59443.65726549652,7095.389265498146,7095.389265498146,0.0,59443.65726549652,13132.216000000015,13132.216000000015,https://twitter.com/ (#97),30331.631999999285,30331.631999999285,26664.9179999993,0.0,59443.65726549652,33810.307265497446,30331.631999999285,59443.65726549652,7095.389265498146,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_17-38-16-51284.html,0.0,13132.216000000015,0.0,59443.65726549652,13174.618999999017,0.0,0.0,33810.307265497446,59443.65726549652,33810.307265497446,33810.307265497446,33810.307265497446,0.0,26664.9179999993,0.0,59443.65726549652,13174.618999999017,0.0,33810.307265497446,0.0,13174.618999999017,33810.307265497446
0.0,45517.16913299946,45517.16913299946,0.0,45517.16913299946,46686.136132999236,45517.16913299946,46686.136132999236,46686.136132999236,38259.2840000003,45517.16913299946,43775.838042090356,7207.885132999159,0.0,45517.16913299946,19820.468000000343,19820.468000000343,http://www.google.com/doubleclick (#13),38191.89300000016,38191.89300000016,38259.2840000003,0.0,45517.16913299946,45517.16913299946,38191.89300000016,45517.16913299946,45517.16913299946,https://console.developers.google.com/m/cloudstorage/b/chrome-telemetry-output/o/trace-file-id_0-2017-02-15_13-54-20-69670.html,0.0,19820.468000000343,0.0,45517.16913299946,12718.248000000603,0.0,0.0,45517.16913299946,45517.16913299946,45517.16913299946,45517.16913299946,45517.16913299946,0.0,38259.2840000003,8167.5667918705885,45517.16913299946,12718.248000000603,0.0,45517.16913299946,0.0,12718.248000000603,45517.16913299946
